"Term","EDF","Ref_DF","F_stat","P_value"
"te(month,x,y)",517.897166627411,534.739829388917,402.25456349998,0
"s(t)",18.9446607417136,18.999531308938,851.502156042567,0
"s(months_since_fire)",13.0814314619394,13.7534696589925,2954.34067644412,0
"s(dewpoint_temp_sd)",6.71437359592505,7.45267126186395,26.5117160781669,0
"s(pot_evap_sd)",8.42819680593104,8.80875186855839,116.650468599933,0
"s(precip_min)",5.36110708218664,6.20766561358225,13.6499564776756,0
"s(solrad_mean)",7.89781961317764,8.51287182599697,211.804757243156,0
"s(total_evap_max)",7.74679244401601,8.50561026775182,99.8928151101224,0
"s(wind_min)",6.13915271112069,6.84884653568982,43.8237486338977,0
"s(wind_sd)",5.18045875008358,6.08954801366536,36.2681756144502,0
"s(water_soil_mean)",8.48028901444918,8.91840174835941,141.79602115122,0
"s(water_soil_sd)",7.18532737869568,7.79860560650328,79.5020149248707,0
"s(savanna)",7.71361953773204,8.58503848604161,37.0056955306145,0
"s(forest_plantation)",4.02197273997948,4.84177848496032,4.43636421062157,0.000629523164517531
"s(grassland)",8.61854655505496,8.94547002757488,52.1862213106958,0
"s(pasture)",8.72493289079838,8.97440017467807,48.1897147588135,0
"s(sugar_cane)",8.1999267592376,8.42179050453881,58.9253146774022,0
"s(mosaic_uses)",8.30165001991857,8.82636034703826,109.500178422119,0
"s(soybean)",7.38686258464642,8.19924006844573,10.166732963355,0
"s(non_vegetated)",8.26023365121433,8.77134876337345,15.7973164084958,0
"s(forest)",7.01676793458803,7.99521040836022,52.9884939531454,0
"s(temporary_crop)",7.55697536248727,8.35004895300726,54.2174035038412,0
"s(perennial_crop)",2.54024177178315,3.11611371128402,5.83528289330596,0.00055074709245817
"s(water)",7.88210163389887,8.55823558447901,14.043497316592,0
"s(wet_herbaceous)",7.9552013357441,8.67956647879618,13.8927481671929,0
"s(NDVI)",7.43106331730239,8.11838910029036,92.4717183807101,0
"s(pop)",7.07297290347664,7.98018049873096,15.2280093229106,0
"s(elevation)",8.92982339502059,8.99836329525653,275.27680019548,0
"s(aspect)",7.39780015970977,8.38704023288231,8.55950296392626,0
"s(TPI)",8.87407097069528,8.99326182374994,162.138028974081,0
"s(TRI)",8.56055791153628,8.9332596896726,137.510324187117,0
