"Term","EDF","Ref_DF","Chisq_stat","P_value"
"te(month,x,y)",534.989536587937,541.600369367258,328923.782331209,0
"s(t)",18.9855165950595,18.9999682894279,40742.7422072975,0
"s(months_since_fire)",13.7528372141722,13.9796247020755,644593.939385492,0
"s(dewpoint_temp_sd)",7.73242242567504,8.22073754164633,1065.38457079989,0
"s(pot_evap_sd)",7.87150183335733,8.36452735947184,294.397544114236,0
"s(precip_min)",6.0765783609206,6.75713363606356,494.76411554357,0
"s(solrad_mean)",8.95585750346313,8.99887197988035,23923.9313773789,0
"s(total_evap_max)",7.29718786355453,7.91802650552139,412.214117625879,0
"s(wind_min)",6.38005049212965,7.07162136016548,486.238930046663,0
"s(wind_sd)",7.37574192786498,7.92650312310738,223.926376295383,0
"s(water_soil_mean)",8.83510886320593,8.98816643538115,1233.91299311642,0
"s(water_soil_sd)",7.00923982748895,7.59825713137015,283.289816833527,0
"s(savanna)",8.82213109544946,8.99046865456866,1971.41744167174,0
"s(forest_plantation)",6.81001326142107,7.71828987181831,85.8268661343688,0
"s(grassland)",8.77900383739594,8.98130038932683,2873.81304332882,0
"s(pasture)",8.79257546999727,8.98547309610258,716.759505545776,0
"s(mosaic_uses)",8.86929966456721,8.99290987571618,1518.43931554365,0
"s(urban)",8.69631699508505,8.95314176648243,715.561462830275,0
"s(soybean)",7.87345297619237,8.55749453208542,365.822617335651,0
"s(non_vegetated)",8.73901560159492,8.96797398599257,388.795919630588,0
"s(forest)",8.47778723646446,8.90325070905602,2702.95078751241,0
"s(temporary_crop)",7.79190079532025,8.51446956750114,1025.32088730754,0
"s(perennial_crop)",5.10061014536192,5.96852481665774,57.9283956447695,0
"s(water)",8.61282994760838,8.93457785141547,345.946034823615,0
"s(wet_herbaceous)",8.71472823914334,8.97273736102101,982.65691926754,0
"s(pop)",8.46298973788435,8.88645510466805,368.407793514537,0
"s(NDVI)",7.44387139773335,8.05034739210966,5032.38372734373,0
"s(elevation)",8.92847344646956,8.99841147295522,5878.62916360562,0
"s(aspect)",8.61753068096512,8.95773285460062,1042.10859621724,0
"s(TPI)",8.96064304148615,8.99933796630317,4897.61373383113,0
"s(TRI)",8.43077384598131,8.89065459882013,1568.29266707218,0
